danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_tag,Genre
0.54,0.695,4,-4.16,1,0.0656,0.167,6.24e-05,0.11,0.667,156.133,audio_features,2Dv2XlnlpeZ0TZDt9TRPn3,spotify:track:2Dv2XlnlpeZ0TZDt9TRPn3,https://api.spotify.com/v1/tracks/2Dv2XlnlpeZ0TZDt9TRPn3,https://api.spotify.com/v1/audio-analysis/2Dv2XlnlpeZ0TZDt9TRPn3,193040,4,2,Country
0.625,0.775,0,-5.199,1,0.0248,0.431,5.23e-05,0.12,0.588,101.961,audio_features,0Z0kNthq0sS4lvGz9SSlBF,spotify:track:0Z0kNthq0sS4lvGz9SSlBF,https://api.spotify.com/v1/tracks/0Z0kNthq0sS4lvGz9SSlBF,https://api.spotify.com/v1/audio-analysis/0Z0kNthq0sS4lvGz9SSlBF,210123,4,2,Country
0.565,0.835,9,-3.379,1,0.0335,0.34,0.0,0.0726,0.763,105.007,audio_features,693NFnfJZt16AFDaZqlflo,spotify:track:693NFnfJZt16AFDaZqlflo,https://api.spotify.com/v1/tracks/693NFnfJZt16AFDaZqlflo,https://api.spotify.com/v1/audio-analysis/693NFnfJZt16AFDaZqlflo,220120,4,2,Country
0.548,0.721,8,-4.466,1,0.0472,0.0119,0.0,0.216,0.594,177.918,audio_features,4ejNoyrhgjrioqJbgTNPu3,spotify:track:4ejNoyrhgjrioqJbgTNPu3,https://api.spotify.com/v1/tracks/4ejNoyrhgjrioqJbgTNPu3,https://api.spotify.com/v1/audio-analysis/4ejNoyrhgjrioqJbgTNPu3,164683,4,2,Country
0.516,0.386,11,-8.086,1,0.0553,0.781,0.0,0.0724,0.56,129.554,audio_features,3GPvHSNPWlzDu5rLu4PztC,spotify:track:3GPvHSNPWlzDu5rLu4PztC,https://api.spotify.com/v1/tracks/3GPvHSNPWlzDu5rLu4PztC,https://api.spotify.com/v1/audio-analysis/3GPvHSNPWlzDu5rLu4PztC,194837,1,2,Country
0.516,0.745,2,-8.352,1,0.0774,0.563,0.0,0.275,0.825,186.004,audio_features,5FmvaZGd6fulojSToozLRD,spotify:track:5FmvaZGd6fulojSToozLRD,https://api.spotify.com/v1/tracks/5FmvaZGd6fulojSToozLRD,https://api.spotify.com/v1/audio-analysis/5FmvaZGd6fulojSToozLRD,173173,3,2,Country
0.549,0.883,9,-4.092,1,0.0344,0.148,0.0,0.0609,0.487,145.06,audio_features,7DnNU5rQLgy4KEYvFMrGgW,spotify:track:7DnNU5rQLgy4KEYvFMrGgW,https://api.spotify.com/v1/tracks/7DnNU5rQLgy4KEYvFMrGgW,https://api.spotify.com/v1/audio-analysis/7DnNU5rQLgy4KEYvFMrGgW,205827,4,2,Country
0.511,0.674,6,-4.992,1,0.026,0.0371,0.0,0.18,0.363,159.874,audio_features,21HxYsyuuXZNqB1Dme5PQN,spotify:track:21HxYsyuuXZNqB1Dme5PQN,https://api.spotify.com/v1/tracks/21HxYsyuuXZNqB1Dme5PQN,https://api.spotify.com/v1/audio-analysis/21HxYsyuuXZNqB1Dme5PQN,190249,4,2,Country
0.593,0.745,7,-4.37,1,0.0574,0.19,0.0,0.227,0.849,169.951,audio_features,1Ut1A8UaNqGuwsHgWq75PW,spotify:track:1Ut1A8UaNqGuwsHgWq75PW,https://api.spotify.com/v1/tracks/1Ut1A8UaNqGuwsHgWq75PW,https://api.spotify.com/v1/audio-analysis/1Ut1A8UaNqGuwsHgWq75PW,175067,4,2,Country
0.599,0.832,6,-5.631,0,0.0348,0.00698,0.0,0.0514,0.509,99.981,audio_features,6uLhIbdIXQ4DGeOA8qFesw,spotify:track:6uLhIbdIXQ4DGeOA8qFesw,https://api.spotify.com/v1/tracks/6uLhIbdIXQ4DGeOA8qFesw,https://api.spotify.com/v1/audio-analysis/6uLhIbdIXQ4DGeOA8qFesw,180598,4,2,Country
0.501,0.63,2,-7.018,1,0.0329,0.589,4.33e-06,0.151,0.542,86.186,audio_features,3YuvAPidBWldqjagOryo40,spotify:track:3YuvAPidBWldqjagOryo40,https://api.spotify.com/v1/tracks/3YuvAPidBWldqjagOryo40,https://api.spotify.com/v1/audio-analysis/3YuvAPidBWldqjagOryo40,211577,4,2,Country
0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69e-06,0.361,0.773,90.007,audio_features,5P3oaNpPDVLRJsL3152SEs,spotify:track:5P3oaNpPDVLRJsL3152SEs,https://api.spotify.com/v1/tracks/5P3oaNpPDVLRJsL3152SEs,https://api.spotify.com/v1/audio-analysis/5P3oaNpPDVLRJsL3152SEs,164668,4,2,Country
0.488,0.781,9,-5.758,1,0.0446,0.0173,0.0,0.208,0.582,76.971,audio_features,24QBf1y8rRcyBgKjoUlIdn,spotify:track:24QBf1y8rRcyBgKjoUlIdn,https://api.spotify.com/v1/tracks/24QBf1y8rRcyBgKjoUlIdn,https://api.spotify.com/v1/audio-analysis/24QBf1y8rRcyBgKjoUlIdn,188002,4,2,Country
0.417,0.703,5,-5.62,1,0.0451,0.00274,0.0,0.127,0.411,92.893,audio_features,2OoN2O7ZgZQbHkvs0b4bxH,spotify:track:2OoN2O7ZgZQbHkvs0b4bxH,https://api.spotify.com/v1/tracks/2OoN2O7ZgZQbHkvs0b4bxH,https://api.spotify.com/v1/audio-analysis/2OoN2O7ZgZQbHkvs0b4bxH,195107,4,2,Country
